extention,execs
config,vim
css,vim
csv,vim
default,vim
docx,docx2txt
gif,fbi;caca
html,vim
ipynb,jupyter
jpg,fbi;caca
JPG,fbi;caca
js,vim
json,vim
log,vim
m,vim;matlab
md,vim;knithtml;knitpdf
mov,vid;textvid
mp4,vid;textvid
MP4,vid;textvid
pdf,fbgs;pdf2txt
PDF,fbgs;pdf2txt
php,vim
png,fbi;caca
PNG,fbi;caca
py,vim;python;ipython
R,vim;R;iR
rar,unrar
rmd,vim;knithtml;knitpdf
sql,vim;sqlhome;sqlprod;sqluat;sqldev
SQL,vim;sqlhome;sqlprod;sqluat;sqldev
svg,fbi;caca
tar,tar
text,vim
toml,vim
ttf,vim
txt,vim
xml,vim
yaml,vim
yml,vim
zip,unzip
